$\epsilon=0.1$,$\epsilon=0.15$,$\epsilon=0.2$,$\epsilon=0.25$,$\epsilon=0.3$,$\epsilon=0.35$,$\epsilon=0.4$
1.0,1.0,0.9752,0.7757000000000005,0.5839,0.32860000000000006,0.20009999999999994
1.0,1.0,0.9761,0.7856000000000007,0.5926000000000001,0.3178000000000001,0.20630000000000004
1.0,1.0,0.9775999999999998,0.7831000000000001,0.5805,0.30820000000000003,0.22050000000000008
1.0,1.0,0.9793,0.7876000000000002,0.5845000000000002,0.31739999999999996,0.2161999999999999
1.0,1.0,0.9787,0.7913000000000006,0.5991999999999998,0.3187000000000001,0.20790000000000017
1.0,1.0,0.9800999999999997,0.7959000000000003,0.5882999999999998,0.32439999999999997,0.1857
1.0,1.0,0.9816000000000001,0.8046999999999999,0.5819000000000001,0.3246,0.17599999999999993
1.0,1.0,0.9809999999999998,0.7997999999999998,0.5884999999999998,0.31960000000000005,0.1895
1.0,1.0,0.9814,0.8135999999999999,0.5958000000000002,0.3333,0.19090000000000004
1.0,1.0,0.9805000000000001,0.8170000000000005,0.5976000000000004,0.34,0.20459999999999995
1.0,1.0,0.9851000000000001,0.8149999999999996,0.5819999999999997,0.3482000000000001,0.2046
1.0,1.0,0.9855000000000003,0.8046000000000001,0.5954999999999999,0.3527,0.19870000000000004
1.0,1.0,0.9835999999999998,0.7972999999999999,0.5929,0.35470000000000007,0.17989999999999995
1.0,1.0,0.9836,0.8083999999999998,0.5852999999999999,0.3558,0.1818000000000001
1.0,1.0,0.9845,0.8162,0.5781999999999996,0.3488,0.18719999999999995
1.0,1.0,0.9845,0.8196000000000001,0.5829999999999997,0.35870000000000024,0.1924
1.0,1.0,0.9869000000000002,0.8202999999999999,0.5838000000000001,0.3567000000000001,0.20709999999999995
1.0,1.0,0.9895999999999999,0.8231999999999999,0.5805999999999998,0.3582999999999999,0.1861
1.0,1.0,0.9914000000000001,0.8197,0.5894000000000001,0.35300000000000004,0.19359999999999997
1.0,1.0,0.9898999999999998,0.8139999999999997,0.5942999999999999,0.3464,0.19580000000000003
1.0,1.0,0.9925999999999999,0.8173000000000004,0.5886999999999998,0.35590000000000005,0.1968
1.0,1.0,0.993,0.8227999999999999,0.5952000000000001,0.34949999999999987,0.19859999999999997
1.0,1.0,0.9923000000000003,0.8131999999999997,0.5865,0.33080000000000004,0.18759999999999993
1.0,1.0,0.9936999999999999,0.8190999999999998,0.5848000000000002,0.3201,0.17880000000000007
1.0,1.0,0.995,0.8253000000000001,0.5921000000000002,0.3242000000000001,0.1901
1.0,1.0,0.9939999999999999,0.8251000000000004,0.589,0.33329999999999993,0.1746999999999999
1.0,1.0,0.9945999999999999,0.8284999999999999,0.5972000000000002,0.34730000000000005,0.16519999999999993
1.0,1.0,0.9946999999999998,0.8326999999999998,0.5896000000000001,0.3435000000000001,0.18089999999999995
1.0,1.0,0.9943,0.8329,0.6026999999999999,0.3532999999999999,0.1696
1.0,1.0,0.995,0.8314,0.5824999999999999,0.3345,0.18909999999999996
1.0,1.0,0.9953000000000002,0.8260000000000002,0.5681000000000002,0.34269999999999984,0.18779999999999997
1.0,1.0,0.9971999999999999,0.8299000000000002,0.5688,0.34020000000000006,0.19110000000000002
1.0,1.0,0.9975999999999998,0.8308,0.5702,0.33380000000000004,0.19570000000000004
1.0,1.0,0.9986000000000002,0.8314999999999999,0.5759000000000004,0.3381000000000002,0.19920000000000002
1.0,1.0,0.9983999999999998,0.8384000000000001,0.5881999999999998,0.33790000000000014,0.19390000000000004
1.0,1.0,0.9988000000000001,0.8429999999999999,0.5879999999999999,0.33279999999999993,0.19030000000000005
1.0,1.0,0.9992,0.8457999999999999,0.588,0.3305999999999999,0.2114999999999999
1.0,1.0,0.9994,0.8504999999999998,0.5822999999999997,0.3221,0.2245000000000001
1.0,1.0,0.9997,0.8463000000000003,0.5822999999999997,0.33269999999999983,0.21469999999999995
1.0,1.0,0.9997,0.8542000000000001,0.5801,0.33810000000000007,0.21040000000000006
1.0,1.0,0.9997999999999999,0.8458999999999999,0.5630000000000001,0.3396999999999999,0.2021
1.0,1.0,1.0,0.8480000000000001,0.5871999999999999,0.3424000000000001,0.19939999999999994
1.0,1.0,1.0,0.8564000000000002,0.5889999999999997,0.3559000000000001,0.19810000000000003
1.0,1.0,1.0,0.8577999999999999,0.5784000000000002,0.3419999999999998,0.19279999999999997
1.0,1.0,1.0,0.8492000000000002,0.5788999999999999,0.3303000000000001,0.20659999999999998
1.0,1.0,1.0,0.8488,0.5779,0.3372,0.20800000000000002
1.0,1.0,1.0,0.8554,0.5716999999999998,0.3278999999999999,0.19329999999999983
1.0,1.0,1.0,0.8499,0.5650999999999999,0.34959999999999974,0.20199999999999996
1.0,1.0,1.0,0.8567999999999997,0.5625999999999999,0.359,0.20010000000000006
1.0,1.0,1.0,0.8484,0.5667999999999997,0.35139999999999993,0.1839
